"","Trial_Sex","Date","Time","Subspecies","Sex","MntM","MntF","Song_actual","duet_song_rate","total_T_less_5_proportion","Duet_lat","Flyby_proportion","lat_5","Leapfrog_prop"
"1","B1601_F","3/4/16","8:30","M.a.lorentzi","F","B1","A2","2_M.a.lorentzi",0,0,NA,0,NA,0
"2","B1601_M","3/4/16","8:30","M.a.lorentzi","M","B1","A2","2_M.a.lorentzi",0,0,NA,0,NA,0
"3","B1602_M","3/4/16","9:33","M.a.lorentzi","M","B2","A3","1_M.a.lorentzi",0.003030582,0.86313,20.160137,0,8.111771,0.00606116425709981
"4","B1602_F","3/4/16","9:33","M.a.lorentzi","F","B2","A3","1_M.a.lorentzi",0.00151529106427495,0.839840147217922,38.342611,0,11.157903,0.00606116425709981
"5","B1605_M","3/4/16","18:00","M.a.lorentzi","M","B3","A2","2_M.a.lorentzi",0,0.085742237,NA,0,92.88244,0
"6","B1605_F","3/4/16","18:00","M.a.lorentzi","F","B3","A2","2_M.a.lorentzi",0,0,NA,0,NA,0
"7","B1606_F","3/5/16","8:30","M.a.lorentzi","F","B4","A2","1_M.a.lorentzi",0,0.078349438167759,NA,0,146.406297,0
"8","B1610_M","3/5/16","7:00","M.a.lorentzi","M","B3","A2","6_M.a.lorentzi",0,0.068387267,NA,0.004169988,84.411102,0
"9","B1610_F","3/5/16","7:00","M.a.lorentzi","F","B3","A2","6_M.a.lorentzi",0.00416998804476938,0.0372407287519479,70.427832,0.00138999601492312,88.74133,0
"10","B1618_F","3/9/16","15:40","M.a.lorentzi","F","B2","A3","6_M.a.lorentzi",0,0.178035044291228,NA,0,12.209226,0
"11","B1618_M","3/9/16","15:40","M.a.lorentzi","M","B2","A3","6_M.a.lorentzi",0,0.153590845,NA,0.001486391,14.50265,0
"12","B1620_F","3/9/16","17:30","M.a.lorentzi","F","B1","A4","1_M.a.lorentzi",0,0.224037874173706,NA,0.00335356924712254,77.188704,0
"13","B1622_F","3/10/16","7:00","M.a.lorentzi","F","B4","A3","6_M.a.lorentzi",0.00579404824616195,0.518036386214505,6.171694,0,9.203404,0.00144851206154049
"14","B1622_M","3/10/16","7:00","M.a.lorentzi","M","B4","A3","6_M.a.lorentzi",0,0.762202694,NA,0.002897024,8.343648,0.00144851206154049
"15","B1627_F","3/10/16","16:45","M.a.lorentzi","F","B3","A4","1_M.a.lorentzi",0,0.729292091671491,NA,0,247.556704,0
"16","B1630_F","3/11/16","8:43","M.a.lorentzi","F","B1","A3","1_M.a.lorentzi",0.0177831597918116,0.00693726954150252,8.764874,0.00222289497397645,148.073253,0
"17","B1630_M","3/11/16","8:43","M.a.lorentzi","M","B1","A3","1_M.a.lorentzi",0.015560265,0,77.122959,0.001111447,NA,0
"18","B1632_F","3/11/16","17:25","M.a.lorentzi","F","B4","A3","3_M.a.lorentzi",0,0.0573145697522388,NA,0,194.818518,0
"19","B1633_F","3/11/16","18:00","M.a.lorentzi","F","B3","A1","6_M.a.lorentzi",0.00109501192938846,0.0246312684204275,380.243968,0.00109501192938846,206.285384,0
"20","B1636_F","3/12/16","18:55","M.a.lorentzi","F","B1","A2","3_M.a.lorentzi",0.00568527697835124,0.549977021389641,32.494925,0,38.638244,0
"21","M1608_F","1/25/16","8:24","M.a.moretoni","F","B3","C1","3_M.a.moretoni",0.00597621825143317,0.153087205940091,192.830711,0,163.556196,0.00478097460114654
"22","M1608_M","1/25/16","8:24","M.a.moretoni","M","B3","C1","3_M.a.moretoni",0.005976218,0.323896771,52.146894,0.001195244,163.178764,0.00478097460114654
"23","M1611_M","1/26/16","5:53","M.a.moretoni","M","B2","C1","2_M.a.moretoni",0.01539249,0,34.550801,0,NA,0.0274865899744189
"24","M1611_F","1/26/16","5:53","M.a.moretoni","F","B2","C1","2_M.a.moretoni",0.0175914175836281,0,27.404539,0,NA,0.0274865899744189
"25","M1612_M","1/26/16","7:02","M.a.moretoni","M","B2","C1","3_M.a.moretoni",0.008445262,0.177169255,14.249573,0,64.419944,0
"26","M1612_F","1/26/16","7:02","M.a.moretoni","F","B2","C1","3_M.a.moretoni",0.0070377186630273,0.199546229295273,10.20888,0.00281508746521092,74.900945,0
"27","M1615_F","1/27/16","5:55","M.a.moretoni","F","B3","C3","3_M.a.moretoni",0.00383464558803912,0.143196263939571,172.708071,0.00511286078405216,135.868129,0
"28","M1616_F","1/27/16","7:00","M.a.moretoni","F","B3","C3","6_M.a.moretoni",0.00693845014390387,0.11298183383587,24.15909,0.00277538005756155,33.099018,0.00416307008634232
"29","M1616_M","1/27/16","7:00","M.a.moretoni","M","B3","C3","6_M.a.moretoni",0.00693845,0.1048488,46.360792,0.00277538,44.01341,0.00416307008634232
"30","M1623_F","1/31/16","6:05","M.a.moretoni","F","B2","C2","5_M.a.moretoni",0.0117189065725265,0.525518094194224,60.574508,0.00520840292112288,112.716094,0
"31","M1623_M","1/31/16","6:05","M.a.moretoni","M","B2","C2","5_M.a.moretoni",0.006510504,0.317248154,69.101603,0.003906302,116.494295,0
"32","M1624_M","1/31/16","6:55","M.a.moretoni","M","B4","C1","6_M.a.moretoni",0.001104016,0.1874749,123.969567,0.001104016,237.177402,0
"33","M1624_F","1/31/16","6:55","M.a.moretoni","F","B4","C1","6_M.a.moretoni",0,0,NA,0.00110401605868197,NA,0
"34","M1626_F","1/31/16","9:15","M.a.moretoni","F","B2","C3","1_M.a.moretoni",0.00567324959251956,0.0353888218198898,94.343978,0.00283662479625978,30.626989,0
"35","M1626_M","1/31/16","9:15","M.a.moretoni","M","B2","C3","1_M.a.moretoni",0.009928187,0.031664441,42.230039,0.002836625,29.049963,0
"36","M1629_M","2/1/16","8:00","M.a.moretoni","M","B2","C2","1_M.a.moretoni",0.005806038,0.905994845,15.878256,0.026127171,21.594429,0.00145150947942957
"37","M1629_F","2/1/16","8:00","M.a.moretoni","F","B2","C2","1_M.a.moretoni",0.0087090568765774,0.496822779288401,8.431342,0.00145150947942957,20.105509,0.00145150947942957
"38","M1633_F","2/6/16","9:23","M.a.moretoni","F","B1","C4","5_M.a.moretoni",0.00556351969691155,0,116.065842,0,NA,0
"39","M1635_M","2/7/16","7:55","M.a.moretoni","M","B1","C2","5_M.a.moretoni",0.004456972,0.072145316,173.928401,0.001114243,26.758215,0.0055712153443037
"40","M1635_F","2/7/16","7:55","M.a.moretoni","F","B1","C2","5_M.a.moretoni",0.00668545841316444,0,87.185873,0,NA,0.0055712153443037
"41","M1638_M","2/13/16","6:15","M.a.moretoni","M","B3","C2","5_M.a.moretoni",0.01437876,0.886492969,38.649119,0,104.055321,0.0121666431173915
"42","M1638_F","2/13/16","6:15","M.a.moretoni","F","B3","C2","5_M.a.moretoni",0.0154848185130438,0.83349023344126,7.447375,0,108.199721,0.0121666431173915
"43","M1642_M","2/15/16","6:40","M.a.moretoni","M","B1","C1","5_M.a.moretoni",0.009992312,0.223721158,30.060427,0,70.030883,0.00444102761648582
"44","M1642_F","2/15/16","6:40","M.a.moretoni","F","B1","C1","5_M.a.moretoni",0.00888205523297165,0.0735171264455156,10.319426,0,287.116542,0.00444102761648582
"45","M1644_F","2/15/16","9:15","M.a.moretoni","F","B2","C1","5_M.a.moretoni",0.00959570472130331,0.329656861985774,17.954231,0.00274162992037237,60.940087,0.00137081496018619
"46","M1645_F","2/15/16","17:05","M.a.moretoni","F","B1","C3","2_M.a.moretoni",0.0134612183326255,0.132213520979187,12.860982,0.00224353638877092,47.769361,0
"47","M1648_F","2/16/16","17:00","M.a.moretoni","F","B1","C3","5_M.a.moretoni",0.0177892470390212,0,72.497779,0,NA,0.00333548381981648
"48","M1650_F","2/17/16","7:15","M.a.moretoni","F","B1","C4","2_M.a.moretoni",0.0029341612061352,0.298078866606059,11.440838,0.0029341612061352,11.440838,0
