"","Subspecies","Song_actual","Mbinresp","Fbinresp","Trial"
"1","M.a.moretoni","3_MB",1,1,"M1608"
"2","M.a.moretoni","2_MB",0,0,"M1610"
"3","M.a.moretoni","2_MB",1,1,"M1611"
"4","M.a.moretoni","3_MB",1,1,"M1612"
"5","M.a.moretoni","3_MB",1,1,"M1615"
"6","M.a.moretoni","6_MB",1,1,"M1616"
"7","M.a.moretoni","5_MB",1,1,"M1620"
"8","M.a.moretoni","3_MB",0,0,"M1621"
"9","M.a.moretoni","5_MB",0,0,"M1622"
"10","M.a.moretoni","5_MB",1,1,"M1623"
"11","M.a.moretoni","6_MB",1,1,"M1624"
"12","M.a.moretoni","1_MB",1,1,"M1626"
"13","M.a.moretoni","5_MB",1,0,"M1628"
"14","M.a.moretoni","1_MB",1,1,"M1629"
"15","M.a.moretoni","5_MB",1,1,"M1633"
"16","M.a.moretoni","5_MB",1,1,"M1635"
"17","M.a.moretoni","5_MB",1,1,"M1638"
"18","M.a.moretoni","5_MB",1,0,"M1639"
"19","M.a.moretoni","2_MB",1,0,"M1640"
"20","M.a.moretoni","5_MB",1,1,"M1642"
"21","M.a.moretoni","5_MB",1,1,"M1644"
"22","M.a.moretoni","2_MB",1,1,"M1645"
"23","M.a.moretoni","5_MB",1,1,"M1648"
"24","M.a.moretoni","2_MB",1,1,"M1650"
"25","M.a.lorentzi","2_WP",1,1,"B1601"
"26","M.a.lorentzi","1_WP",1,1,"B1602"
"27","M.a.lorentzi","2_WP",1,1,"B1605"
"28","M.a.lorentzi","1_WP",0,1,"B1606"
"29","M.a.lorentzi","2_WP",0,0,"B1607"
"30","M.a.lorentzi","6_WP",1,1,"B1610"
"31","M.a.lorentzi","6_WP",1,0,"B1617"
"32","M.a.lorentzi","6_WP",1,1,"B1618"
"33","M.a.lorentzi","1_WP",0,1,"B1620"
"34","M.a.lorentzi","6_WP",1,1,"B1622"
"35","M.a.lorentzi","1_WP",0,1,"B1627"
"36","M.a.lorentzi","1_WP",1,1,"B1630"
"37","M.a.lorentzi","3_WP",1,1,"B1632"
"38","M.a.lorentzi","3_WP",1,1,"B1636"
"39","M.a.lorentzi","3_WP",0,0,"B1637"
